Incurral Year,Development Year,Claim
1,1,5012
2,1,106
3,1,3410
4,1,5655
5,1,1092
6,1,1513
7,1,557
8,1,1351
9,1,3133
10,1,2063
1,2,3257
2,2,4179
3,2,5582
4,2,5900
5,2,8473
6,2,4932
7,2,3463
8,2,5596
9,2,2262
1,3,2638
2,3,1111
3,3,4881
4,3,4211
5,3,6271
6,3,5257
7,3,6926
8,3,6165
1,4,898
2,4,5270
3,4,2268
4,4,5500
5,4,6333
6,4,1233
7,4,1368
1,5,1734
2,5,3116
3,5,2594
4,5,2159
5,5,3786
6,5,2917
1,6,2642
2,6,1817
3,6,3479
4,6,2658
5,6,225
1,7,1828
2,7,-103
3,7,649
4,7,984
1,8,599
2,8,673
3,8,603
1,9,54
2,9,535
1,10,172
